"Pcode
",Pcode Name,Governorate,District,Cadaster,Local Name,Latitude,Longitude,Shelter Type,Status,Number of Tents,Number of Ind,Date of the Update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Water Capacity in L,Number of SSBs,Number of Ind in SSBs,Type of Water Source,Waste Disposal,Waste Water Disposal,Type of Contract,Type of Internet Connection,Consultation Fee for PHC (3000/5000),Free Vaccination for Children under 12
32181-01-016,Enfé 016,North,Koura,Enfé,Salt Factory Anfeh 2,34.33990479,35.73544693,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,4/16/15,4/30/13,0,0,0,0,,,,,,,
32181-01-017,Enfé 017,North,Koura,Enfé,Las Salinas 1,34.36459732,35.74119949,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,4/17/15,1/17/13,0,0,0,0,,,,,,,
32181-01-018,Enfé 018,North,Koura,Enfé,Flouka 1,34.34088516,35.73076248,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,4/29/15,6/29/14,0,0,0,0,,,,,,,
32181-01-019,Enfé 019,North,Koura,Enfé,Talet Al Arab,34.34614944,35.73509216,IS- Informal Settlement,Active,18,113,12/19/16,Solidarites,Sixth Update - 2016,7/6/15,3/1/15,19,18000,0,0,Water Network,Municipality Collection,Cesspit,None,Wifi  / local Internet service provider,Yes,Yes
32181-01-020,Enfé 020,North,Koura,Enfé,Salt factory 2,34.34164047,35.73038101,IS- Informal Settlement,Active,9,42,12/15/16,Solidarites,Sixth Update - 2016,7/9/15,1/1/13,2,3000,3,12,Water Trucking,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
32181-01-021,Enfé 021,North,Koura,Enfé,Enfe (Garage Rayane),34.3439064,35.7338829,IS- Informal Settlement,Inactive,0,0,12/16/16,Solidarites,Sixth Update - 2016,7/6/15,1/1/12,0,0,0,0,,,,,,,
32181-01-022,Enfé 022,North,Koura,Enfé,Hay Al Drayjet,34.34833145,35.73797226,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,7/9/15,1/1/95,0,0,0,0,,,,,,,
32181-01-023,Enfé 023,North,Koura,Enfé,Anfe Mountain,34.34873962,35.73609161,IS- Informal Settlement,Less than 4,1,5,12/19/16,Solidarites,Sixth Update - 2016,7/9/15,1/1/13,1,0,0,0,Water Network,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
32181-01-024,Enfé 024,North,Koura,Enfé,Sea View,34.34714127,35.73020172,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,7/9/15,1/1/15,0,0,0,0,,,,,,,
32181-01-025,Enfé 025,North,Koura,Enfé,Sea View 1,34.34696579,35.72988892,IS- Informal Settlement,Active,5,17,12/15/16,Solidarites,Sixth Update - 2016,7/9/15,1/1/12,1,1000,0,0,Water Trucking,Burn it,Open pit,None,Mobile network - 3G / 4G,No,Yes
32181-01-026,Enfé 026,North,Koura,Enfé,Chekka 5,34.34312439,35.73965454,IS- Informal Settlement,Inactive,0,0,12/16/16,Solidarites,Sixth Update - 2016,9/17/15,5/9/15,0,0,0,0,,,,,,,
32181-01-027,Enfé 027,North,Koura,Enfé,Enfe (Olives trees 1),34.34037781,35.73818207,IS- Informal Settlement,Less than 4,3,14,12/15/16,Solidarites,Sixth Update - 2016,11/2/15,5/2/15,2,2000,5,17,Water Trucking,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
32181-01-028,Enfé 028,North,Koura,Enfé,Trad,34.34346008,35.73488998,IS- Informal Settlement,Less than 4,1,6,12/16/16,Solidarites,Sixth Update - 2016,11/16/15,12/31/99,1,0,0,0,Water Trucking,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
32181-01-029,Enfé 029,North,Koura,Enfé,IS Aref Al Osman,34.34778214,35.7379303,IS- Informal Settlement,Active,7,61,12/19/16,Solidarites,Sixth Update - 2016,12/8/15,10/1/15,4,4000,0,0,Water Trucking,Municipality Collection,Cesspit,Verbal,Wifi  / local Internet service provider,Yes,Yes
32181-01-030,Enfé 030,North,Koura,Enfé,IS Gaz Company,34.34608078,35.73006821,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,1/7/16,1/1/13,0,0,0,0,,,,,,,
32181-01-031,Enfé 031,North,Koura,Enfé,IS Samir Al Masri,34.34547806,35.73508453,IS- Informal Settlement,Less than 4,1,11,12/19/16,Solidarites,Sixth Update - 2016,2/2/16,12/1/15,1,1000,0,0,Water Network,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
32181-01-032,Enfé 032,North,Koura,Enfé,IS Khaled Al Osman,34.34716034,35.74006271,IS- Informal Settlement,Less than 4,2,15,12/19/16,Solidarites,Sixth Update - 2016,2/2/16,12/1/14,1,0,0,0,Water Trucking,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,No,Yes
32181-01-033,Enfé 033,North,Koura,Enfé,IS Maarouf Osman,34.34703064,35.74083328,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,2/2/16,10/1/15,0,0,0,0,,,,,,,
32181-01-034,Enfé 034,North,Koura,Enfé,IS Moussa Tarraf,34.34714127,35.73030472,IS- Informal Settlement,Less than 4,1,11,12/15/16,Solidarites,Sixth Update - 2016,9/7/16,8/15/16,1,0,0,0,Borehole,Municipality Collection,Open pit,None,Mobile network - 3G / 4G,Yes,Yes
32181-01-035,Enfé 035,North,Koura,Enfé,IS Maarouf Osman 1,34.34699249,35.74114609,IS- Informal Settlement,Less than 4,1,6,12/19/16,Solidarites,Sixth Update - 2016,9/8/16,8/16/16,1,0,1,7,Borehole,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,No,Yes
32183-01-001,Hraiche 001,North,Koura,Hraiche,Next To Marina Del Sol,34.36721039,35.74031448,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,9/11/14,11/2/13,0,0,0,0,,,,,,,
32183-01-002,Hraiche 002,North,Koura,Hraiche,IS Karam,34.3770256,35.74610901,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,2/2/16,12/1/15,0,0,0,0,,,,,,,
32185-01-001,Ras Masqa 001,North,Koura,Ras Masqa,Bkeftine 1,34.37720871,35.85731888,IS- Informal Settlement,Erroneous,0,0,12/7/16,Solidarites,Sixth Update - 2016,4/22/14,2/18/11,0,0,0,0,,,,,,,
32187-01-001,Barsa 001,North,Koura,Barsa,Deddeh Near Freres College,34.38067245,35.82031631,IS- Informal Settlement,Inactive,0,0,12/16/16,Solidarites,Sixth Update - 2016,4/17/14,11/12/13,0,0,0,0,,,,,,,
32189-01-001,Bkeftine 001,North,Koura,Bkeftine,Aaqba 1,34.38767242,35.86727905,IS- Informal Settlement,Less than 4,2,29,12/7/16,Solidarites,Sixth Update - 2016,6/10/14,3/18/14,1,0,0,0,Water Trucking,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
32189-01-002,Bkeftine 002,North,Koura,Bkeftine,Bkeftine 3,34.37717056,35.85749435,IS- Informal Settlement,Active,10,42,12/7/16,Solidarites,Sixth Update - 2016,5/4/16,2/18/11,5,2000,0,0,Water Trucking,Burn it,Cesspit,None,Mobile network - 3G / 4G,Yes,Yes
32191-01-001,Nakhlé 001,North,Koura,Nakhlé,Haret El Khassa - Barsa,34.38451004,35.83768845,IS- Informal Settlement,Active,14,66,12/9/16,Solidarites,Sixth Update - 2016,4/17/14,4/8/10,10,6000,12,49,Water Trucking,Municipality Collection,Cesspit,Verbal,Wifi  / local Internet service provider,Yes,Yes
32191-01-002,Nakhlé 002,North,Koura,Nakhlé,Samirya 1,34.38382339,35.83717728,IS- Informal Settlement,Active,10,40,12/9/16,Solidarites,Sixth Update - 2016,4/17/14,2/22/14,2,2000,4,27,Water Trucking,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
32191-01-003,Nakhlé 003,North,Koura,Nakhlé,Nakhleh,34.37570572,35.83539581,IS- Informal Settlement,Inactive,0,0,12/13/16,Solidarites,Sixth Update - 2016,4/17/14,1/25/14,0,0,0,0,,,,,,,
32191-01-005,Nakhlé 005,North,Koura,Nakhlé,Nakhle 1,34.3650589,35.82825851,IS- Informal Settlement,Less than 4,1,5,12/14/16,Solidarites,Sixth Update - 2016,7/3/14,11/23/13,1,0,1,8,Water Trucking,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,No,Yes
32191-01-006,Nakhlé 006,North,Koura,Nakhlé,Palmera-Nakhle,34.36267853,35.82011414,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,9/5/14,1/18/12,0,0,0,0,,,,,,,
32191-01-007,Nakhlé 007,North,Koura,Nakhlé,Samirya,34.37548828,35.8446579,IS- Informal Settlement,Less than 4,1,3,12/13/16,Solidarites,Sixth Update - 2016,9/1/14,5/3/13,1,0,1,8,Borehole,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
32191-01-008,Nakhlé 008,North,Koura,Nakhlé,Nakhle 2,34.35903931,35.81875229,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,5/28/15,1/18/12,0,0,0,0,,,,,,,
32191-01-009,Nakhlé 009,North,Koura,Nakhlé,Nakhle 4,34.36222076,35.8188324,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,5/28/15,3/20/14,0,0,0,0,,,,,,,
32191-01-010,Nakhlé 010,North,Koura,Nakhlé,Nakhle 3,34.36378098,35.81882477,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,5/28/15,1/18/12,0,0,0,0,,,,,,,
32191-01-011,Nakhlé 011,North,Koura,Nakhlé,Dawoud School - Samireya,34.37875748,35.84161758,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,5/29/15,5/1/13,0,0,0,0,,,,,,,
32191-01-012,Nakhlé 012,North,Koura,Nakhlé,Nakhle 5,34.37887955,35.84272385,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,10/27/15,6/1/15,0,0,0,0,,,,,,,
32193-01-001,Bqaiaa El-Koura 001,North,Koura,Bqaiaa El-Koura,Bkeftine 2,34.37482071,35.85614777,IS- Informal Settlement,Inactive,0,0,12/7/16,Solidarites,Sixth Update - 2016,5/26/15,10/5/14,0,0,0,0,,,,,,,
32193-01-002,Bqaiaa El-Koura 002,North,Koura,Bqaiaa El-Koura,Kfarkahel 9,34.37155533,35.85321045,IS- Informal Settlement,Inactive,0,0,12/9/16,Solidarites,Sixth Update - 2016,11/2/15,1/1/12,0,0,0,0,,,,,,,
33115-01-001,Kfardlaqous 001,North,Zgharta,Kfardlaqous,kfardlakos 1,34.40530777,35.89932251,IS- Informal Settlement,Inactive,0,0,12/13/16,Solidarites,Sixth Update - 2016,7/9/15,1/1/14,0,0,0,0,,,,,,,
33115-01-002,Kfardlaqous 002,North,Zgharta,Kfardlaqous,kfardlaos 2,34.39489746,35.90665436,IS- Informal Settlement,Less than 4,1,7,12/15/16,Solidarites,Sixth Update - 2016,7/9/15,1/1/11,2,1000,1,10,Water Network,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
33115-01-003,Kfardlaqous 003,North,Zgharta,Kfardlaqous,IS Medhat Saadeh,34.40428925,35.89890671,IS- Informal Settlement,Less than 4,3,19,12/13/16,Solidarites,Sixth Update - 2016,6/13/16,3/15/16,1,0,0,0,Water Network,Municipality Collection,Municipality sewer network / not treated,Verbal,Mobile network - 3G / 4G,Yes,Yes
33123-01-001,Arde 001,North,Zgharta,Arde,Miryata 1,34.41415024,35.92035294,IS- Informal Settlement,Less than 4,1,9,12/19/16,Solidarites,Sixth Update - 2016,4/14/14,7/4/13,0,0,0,0,Water Network,Municipality Collection,Open pit,None,Mobile network - 3G / 4G,Yes,No
33123-01-002,Arde 002,North,Zgharta,Arde,Miryata 6,34.41739273,35.92360687,IS- Informal Settlement,Less than 4,1,7,12/13/16,Solidarites,Sixth Update - 2016,6/18/14,1/11/13,1,0,0,0,Water Trucking,Municipality Collection,Open pit,None,Mobile network - 3G / 4G,Yes,No
33123-01-003,Arde 003,North,Zgharta,Arde,Arde 1,34.41779709,35.91252518,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,4/27/15,4/1/12,0,0,0,0,,,,,,,
33123-01-004,Arde 004,North,Zgharta,Arde,Miryata 11,34.41395569,35.9192543,IS- Informal Settlement,Less than 4,1,10,12/13/16,Solidarites,Sixth Update - 2016,6/8/15,12/7/12,1,0,1,8,River,Municipality Collection,Open pit,None,Wifi  / local Internet service provider,Yes,Yes
33123-01-005,Arde 005,North,Zgharta,Arde,Miryata 13,34.41347504,35.92387772,IS- Informal Settlement,Less than 4,3,23,12/13/16,Solidarites,Sixth Update - 2016,10/26/15,9/20/15,1,2000,0,0,Borehole,Municipality Collection,Municipality sewer network / not treated,None,Mobile network - 3G / 4G,Yes,Yes
33123-01-006,Arde 006,North,Zgharta,Arde,IS Antoine Al Khoury,34.4084816,35.92084122,IS- Informal Settlement,Inactive,0,0,12/13/16,Solidarites,Sixth Update - 2016,12/16/15,12/1/11,0,0,0,0,,,,,,,
33123-01-007,Arde 007,North,Zgharta,Arde,IS Tony Bshara,34.41072845,35.91794968,IS- Informal Settlement,Less than 4,1,5,12/13/16,Solidarites,Sixth Update - 2016,1/14/16,1/1/15,1,0,0,0,Water Trucking,Municipality Collection,Municipality sewer network / not treated,None,Mobile network - 3G / 4G,Yes,Yes
33123-01-008,Arde 008,North,Zgharta,Arde,IS kazem Istanbuli,34.41926575,35.92176056,IS- Informal Settlement,Less than 4,1,6,12/19/16,Solidarites,Sixth Update - 2016,2/25/16,1/1/13,0,0,0,0,Water Network,Burn it,Open pit,Verbal,Mobile network - 3G / 4G,No,No
33123-01-009,Arde 009,North,Zgharta,Arde,IS Francois Lattouf,34.40981674,35.91822815,IS- Informal Settlement,Less than 4,1,8,12/13/16,Solidarites,Sixth Update - 2016,5/18/16,4/17/16,1,0,0,0,Water Trucking,Municipality Collection,Open pit,None,Mobile network - 3G / 4G,No,No
33129-01-001,Mejdlaya Zgharta 001,North,Zgharta,Mejdlaiya Zgharta,Mejdlaya 1,34.427845,35.8704071,IS- Informal Settlement,Active,4,21,12/14/16,Solidarites,Sixth Update - 2016,4/14/14,1/1/11,3,4000,2,11,Spring,Dump it outside the camp,Cesspit,Verbal,Mobile network - 3G / 4G,No,Yes
33129-01-003,Mejdlaiya Zgharta 003,North,Zgharta,Mejdlaiya Zgharta,Beddawi 2,34.43510818,35.86919403,IS- Informal Settlement,Less than 4,2,8,12/15/16,Solidarites,Sixth Update - 2016,9/10/14,9/1/14,0,0,0,0,Borehole,Municipality Collection,Open pit,None,Mobile network - 3G / 4G,Yes,Yes
33129-01-004,Mejdlaiya Zgharta 004,North,Zgharta,Mejdlaiya Zgharta,Mejdlaya 2,34.41521835,35.87101364,IS- Informal Settlement,Active,4,18,12/15/16,Solidarites,Sixth Update - 2016,9/15/14,9/10/14,1,1000,0,0,Water Network,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
33129-01-005,Mejdlaiya Zgharta 005,North,Zgharta,Mejdlaiya Zgharta,Mejdlaya 3,34.42560577,35.87024689,IS- Informal Settlement,Less than 4,2,12,12/15/16,Solidarites,Sixth Update - 2016,6/7/15,5/19/15,0,0,0,0,Water Network,Dump it outside the camp,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
33129-01-006,Mejdlaiya Zgharta 006,North,Zgharta,Mejdlaiya Zgharta,Ayrounieh,34.43539429,35.87666321,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,7/14/15,5/1/15,0,0,0,0,,,,,,,
33129-01-007,Mejdlaiya Zgharta 007,North,Zgharta,Mejdlaiya Zgharta,Beddawi 3,34.43996429,35.88080215,IS- Informal Settlement,Inactive,0,0,12/16/16,Solidarites,Sixth Update - 2016,9/2/15,1/8/16,0,0,0,0,,,,,,,
33129-01-008,Mejdlaiya Zgharta 008,North,Zgharta,Mejdlaiya Zgharta,Haret Fawar,34.42952728,35.87890244,IS- Informal Settlement,Less than 4,3,16,12/16/16,Solidarites,Sixth Update - 2016,11/3/15,10/1/15,0,0,0,0,Water Trucking,Dump it outside the camp,Open pit,None,Mobile network - 3G / 4G,No,Yes
33129-01-009,Mejdlaiya Zgharta 009,North,Zgharta,Mejdlaiya Zgharta,Arz Street,34.42850494,35.87164688,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,11/3/15,1/1/13,0,0,0,0,,,,,,,
33129-01-010,Mejdlaiya Zgharta 010,North,Zgharta,Mejdlaiya Zgharta,IS Ahmad Dandashli,34.41771698,35.86712265,IS- Informal Settlement,Less than 4,2,5,12/16/16,Solidarites,Sixth Update - 2016,11/3/15,1/1/12,1,1000,0,0,Borehole,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,No
33129-01-011,Mejdlaiya Zgharta 011,North,Zgharta,Mejdlaiya Zgharta,Checkpoint,34.42927933,35.87104416,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,11/24/15,1/1/12,0,0,0,0,,,,,,,
33129-01-012,Mejdlaiya Zgharta 012,North,Zgharta,Mejdlaiya Zgharta,IS Public Land,34.43124771,35.87203598,IS- Informal Settlement,Inactive,0,0,12/15/16,Solidarites,Sixth Update - 2016,11/27/15,1/1/12,0,0,0,0,,,,,,,
33129-01-013,Mejdlaiya Zgharta 013,North,Zgharta,Mejdlaiya Zgharta,IS Hatem Abou Al Ashra,34.43954086,35.87388992,IS- Informal Settlement,Less than 4,1,9,12/16/16,Solidarites,Sixth Update - 2016,8/31/16,8/15/16,0,0,0,0,Water Network,Burn it,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
33131-01-001,Hariq Zgharta 001,North,Zgharta,Hariq Zgharta,Kfarhata 1,34.38261795,35.91195679,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,7/12/15,1/1/15,0,0,0,0,,,,,,,
33133-01-001,Aalma 001,North,Zgharta,Aalma,Fawar 1,34.42771912,35.88437653,IS- Informal Settlement,Inactive,0,0,12/16/16,Solidarites,Sixth Update - 2016,6/12/14,11/22/13,0,0,0,0,,,,,,,
33133-01-002,Aalma 002,North,Zgharta,Aalma,Fawar 2,34.43044662,35.88997269,IS- Informal Settlement,Inactive,0,0,12/16/16,Solidarites,Sixth Update - 2016,4/14/14,1/1/09,0,0,0,0,,,,,,,
33133-01-003,Aalma 003,North,Zgharta,Aalma,Fawar 3,34.42478943,35.88779831,IS- Informal Settlement,Inactive,0,0,12/16/16,Solidarites,Sixth Update - 2016,9/8/14,8/16/13,0,0,0,0,,,,,,,
33133-01-004,Aalma 004,North,Zgharta,Aalma,Aalma 1,34.4256897,35.89160156,IS- Informal Settlement,Inactive,0,0,12/16/16,Solidarites,Sixth Update - 2016,4/28/15,5/17/14,0,0,0,0,,,,,,,
33141-01-001,Iaal 001,North,Zgharta,Iaal,Iaal 6,34.36100006,35.9090004,IS- Informal Settlement,Inactive,0,0,12/13/16,Solidarites,Sixth Update - 2016,4/22/14,2/8/14,0,0,0,0,,,,,,,
33141-01-003,Iaal 003,North,Zgharta,Iaal,Iaal 1,34.36349869,35.907444,IS- Informal Settlement,Active,9,52,12/15/16,Solidarites,Sixth Update - 2016,4/22/14,12/31/12,1,1000,0,0,Spring,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
33141-01-004,Iaal 004,North,Zgharta,Iaal,Iaal 3,34.36471939,35.91023254,IS- Informal Settlement,Less than 4,3,12,12/15/16,Solidarites,Sixth Update - 2016,9/8/14,9/8/14,0,0,1,3,Water Network,Dump it outside the camp,Open pit,None,Mobile network - 3G / 4G,No,Yes
33141-01-005,Iaal 005,North,Zgharta,Iaal,Iaal 4,34.36509705,35.90921021,IS- Informal Settlement,Inactive,0,0,12/13/16,Solidarites,Sixth Update - 2016,9/8/14,9/8/14,0,0,0,0,,,,,,,
33141-01-006,Iaal 006,North,Zgharta,Iaal,Iaal 5,34.36459732,35.90895462,IS- Informal Settlement,Less than 4,2,10,12/13/16,Solidarites,Sixth Update - 2016,6/7/15,2/8/15,0,0,2,8,Water Network,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
33141-01-007,Iaal 007,North,Zgharta,Iaal,Iaal 7,34.3619194,35.91181946,IS- Informal Settlement,Less than 4,1,8,12/13/16,Solidarites,Sixth Update - 2016,10/27/15,4/1/13,1,0,0,0,Spring,Municipality Collection,Municipality sewer network / not treated,None,Mobile network - 3G / 4G,Yes,Yes
33143-01-001,Kfarhoura 001,North,Zgharta,Kfarhoura,IS Mansour Fayad,34.39342117,35.87302017,IS- Informal Settlement,Less than 4,1,4,12/19/16,Solidarites,Sixth Update - 2016,9/15/16,1/1/12,0,0,0,0,Water Network,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,No
33147-01-001,Kfarchakhna 001,North,Zgharta,Kfarchakhna,Kfarchakhna 1,34.36527634,35.86474991,IS- Informal Settlement,Less than 4,3,23,12/14/16,Solidarites,Sixth Update - 2016,6/10/14,12/28/13,3,3000,5,22,Borehole,Municipality Collection,Cesspit,None,Wifi  / local Internet service provider,Yes,Yes
33147-01-002,Kfarchakhna 002,North,Zgharta,Kfarchakhna,Kfar Chakhna 2,34.3658638,35.86487579,IS- Informal Settlement,Less than 4,1,7,12/14/16,Solidarites,Sixth Update - 2016,9/8/14,5/15/14,1,1000,0,0,Borehole,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
33147-01-003,Kfarchakhna 003,North,Zgharta,Kfarchakhna,Kfarchakhna 3,34.36591339,35.86526489,IS- Informal Settlement,Active,6,19,12/14/16,Solidarites,Sixth Update - 2016,9/8/14,9/8/14,2,4000,4,26,Borehole,Municipality Collection,Cesspit,None,Wifi  / local Internet service provider,Yes,Yes
33149-01-001,Bsebaal 001,North,Zgharta,Bsebaal,Bsebaal 1,34.34981537,35.87565994,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,11/3/15,1/1/11,0,0,0,0,,,,,,,
33157-01-001,Bchannine 001,North,Zgharta,Bchannine,Bchannine,34.34104919,35.8648262,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,6/10/14,5/7/13,0,0,0,0,,,,,,,
33161-01-001,Aarjis 001,North,Zgharta,Aarjis,Arjis 1,34.3337822,35.88187408,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,11/3/15,10/12/15,0,0,0,0,,,,,,,
33165-01-001,Kfarfou 001,North,Zgharta,Kfarfou,Daraiya 1,34.32633972,35.87762451,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,9/2/15,5/1/15,0,0,0,0,,,,,,,
33169-01-001,Karm Saddé 001,North,Zgharta,Karm Saddé,IS Robert Jabbour,34.30841064,35.89468765,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,11/25/15,10/1/15,0,0,0,0,,,,,,,
33169-01-002,Karm Saddé 002,North,Zgharta,Karm Saddé,IS Robert Jabbour 1,34.30857849,35.89513779,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,11/25/15,1/1/13,0,0,0,0,,,,,,,
33211-01-001,Ehden 001,North,Zgharta,Ehden,Ehden 1,34.27882004,35.98420715,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,9/8/14,3/1/14,0,0,0,0,,,,,,,
33211-01-002,Ehden 002,North,Zgharta,Ehden,Ehden 2,34.29943466,35.94075394,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,9/2/15,5/1/15,0,0,0,0,,,,,,,
33211-01-003,Ehden 003,North,Zgharta,Ehden,IS Joseph Iskandar,34.2749939,35.98017502,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,11/24/15,1/1/09,0,0,0,0,,,,,,,
33211-01-004,Ehden 004,North,Zgharta,Ehden,IS Micheal Iskandar,34.29879379,35.94068146,IS- Informal Settlement,Less than 4,1,3,12/19/16,Solidarites,Sixth Update - 2016,8/22/16,1/1/16,1,0,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
33223-01-001,Kfarsghab 001,North,Zgharta,Kfarsghab,Ben 2,34.27653122,35.95947266,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,7/23/15,5/1/15,0,0,0,0,,,,,,,
33223-01-002,Kfarsghab 002,North,Zgharta,Kfarsghab,Morh Kfarsghab 1,34.27576065,35.97330475,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,9/2/15,5/28/15,0,0,0,0,,,,,,,
33223-01-003,Kfarsghab 003,North,Zgharta,Kfarsghab,kfarsghab 3,34.28085327,35.96556091,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,9/21/15,6/1/15,0,0,0,0,,,,,,,
33223-01-004,Kfarsghab 004,North,Zgharta,Kfarsghab,kfarsghab 1,34.27739716,35.96120071,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,9/21/15,6/1/15,0,0,0,0,,,,,,,
33223-01-005,Kfarsghab 005,North,Zgharta,Kfarsghab,Kfarsghab 2,34.27824783,35.96075058,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,9/21/15,6/1/15,0,0,0,0,,,,,,,
33223-01-006,Kfarsghab 006,North,Zgharta,Kfarsghab,IS Laurance Maroun,34.27715302,35.95922089,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,6/22/16,6/1/16,0,0,0,0,,,,,,,
33223-01-007,Kfarsghab 007,North,Zgharta,Kfarsghab,IS Doumit Zakkour,34.27734756,35.95947266,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,6/22/16,6/1/16,0,0,0,0,,,,,,,
33223-01-008,Kfarsghab 008,North,Zgharta,Kfarsghab,IS Rafik Eissa,34.27571869,35.96224213,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,8/3/16,5/26/16,0,0,0,0,,,,,,,
33263-01-001,Danha 001,North,Zgharta,Danha,Rachine 3,34.39328003,35.92938232,IS- Informal Settlement,Inactive,0,0,12/14/16,Solidarites,Sixth Update - 2016,9/22/15,2/1/13,0,0,0,0,,,,,,,
33267-01-001,Aachach 001,North,Zgharta,Aachach,Miryata 2,34.42019272,35.93331909,IS- Informal Settlement,Inactive,0,0,12/19/16,Solidarites,Sixth Update - 2016,4/14/14,1/5/13,0,0,0,0,,,,,,,
33267-01-002,Aachach 002,North,Zgharta,Aachach,Miryata 8,34.41553497,35.93359756,IS- Informal Settlement,Inactive,0,0,12/13/16,Solidarites,Sixth Update - 2016,4/22/15,8/18/14,0,0,0,0,,,,,,,
