"Pcode
",Pcode Name,Governorate,District,Cadaster,Local Name,Latitude,Longitude,Shelter Type,Status,Number of Tents,Number of Ind,Date of the Update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Water Capacity in L,Number of SSBs,Number of Ind in SSBs,Type of Water Source,Waste Disposal,Waste Water Disposal,Type of Contract,Type of Internet Connection,Consultation Fee for PHC (3000/5000),Free Vaccination for Children under 12
22797-01-006,Baskinta 006,Mount Lebanon,El Metn,Baskinta,Baskinta 006,33.94005966,35.84275055,IS- Informal Settlement,Inactive,0,0,12/8/16,PU-AMI,Sixth Update - 2016,7/14/16,7/9/16,0,0,0,0,,,,,,,
22797-01-007,Baskinta 007,Mount Lebanon,El Metn,Baskinta,baskinta 7,33.94884109,35.83898926,IS- Informal Settlement,Inactive,0,0,12/8/16,PU-AMI,Sixth Update - 2016,7/22/16,4/28/16,0,0,0,0,,,,,,,
22797-01-008,Baskinta 008,Mount Lebanon,El Metn,Baskinta,Baskinta 8,33.9204483,35.84334183,IS- Informal Settlement,Inactive,0,0,12/8/16,PU-AMI,Sixth Update - 2016,8/19/16,3/15/09,0,0,0,0,,,,,,,
23111-01-001,Damour 001,Mount Lebanon,Chouf,Damour,Mshref ITS,33.71664047,35.4584198,IS- Informal Settlement,Inactive,0,0,12/13/16,PU-AMI,Sixth Update - 2016,1/4/14,3/1/11,0,0,0,0,,,,,,,
23111-01-002,Damour 002,Mount Lebanon,Chouf,Damour,Damour,33.7095108,35.44519043,IS- Informal Settlement,Less than 4,2,10,12/13/16,PU-AMI,Sixth Update - 2016,10/21/15,10/1/12,1,2000,0,0,Water Trucking,Burn it,Open pit,Verbal,No Internet access,No,No
23111-01-003,Damour 003,Mount Lebanon,Chouf,Damour,Damour,33.71646881,35.45669937,IS- Informal Settlement,Less than 4,3,10,12/13/16,PU-AMI,Sixth Update - 2016,10/21/15,3/1/11,2,5000,5,42,Water Trucking,Municipality Collection,Municipality sewer network / not treated,Verbal,Mobile network - 3G / 4G,No,No
23111-01-004,Damour 004,Mount Lebanon,Chouf,Damour,Damour,33.71648026,35.44559097,IS- Informal Settlement,Less than 4,2,16,12/13/16,PU-AMI,Sixth Update - 2016,10/21/15,11/21/13,1,0,1,5,Water Trucking,Burn it,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23111-01-005,Damour 005,Mount Lebanon,Chouf,Damour,Damour,33.7154007,35.44702911,IS- Informal Settlement,Less than 4,2,16,12/13/16,PU-AMI,Sixth Update - 2016,11/2/15,7/1/12,1,1000,1,7,Water Trucking,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,No,No
23111-01-006,Damour 006,Mount Lebanon,Chouf,Damour,Damour,33.72769928,35.45022964,IS- Informal Settlement,Less than 4,1,5,12/13/16,PU-AMI,Sixth Update - 2016,12/18/15,1/1/14,0,0,0,0,Water Network,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23141-01-001,Naamé 001,Mount Lebanon,Chouf,Naamé,Naame,33.73968887,35.45407867,IS- Informal Settlement,Inactive,0,0,12/13/16,PU-AMI,Sixth Update - 2016,12/17/15,9/30/12,0,0,0,0,,,,,,,
23141-01-002,Naamé 002,Mount Lebanon,Chouf,Naamé,Naame,33.73693085,35.45222855,IS- Informal Settlement,Active,13,63,12/13/16,PU-AMI,Sixth Update - 2016,12/18/15,7/1/11,12,20000,1,3,Water Network,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23141-01-003,Naamé 003,Mount Lebanon,Chouf,Naamé,Naame,33.7346611,35.45275879,IS- Informal Settlement,Less than 4,1,6,12/13/16,PU-AMI,Sixth Update - 2016,12/18/15,10/5/12,1,1000,0,0,Spring,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23231-01-001,Ketermaya 001,Mount Lebanon,Chouf,Ketermaya,Katermaya 1,33.61928177,35.45632935,IS- Informal Settlement,Active,56,333,12/16/16,PU-AMI,Sixth Update - 2016,4/4/14,1/1/12,8,10000,0,0,Water Trucking,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
